SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NH3 to Black,Deaths from NH3 to Native,Deaths from NH3 to Asian,Deaths from NH3 to Other,Deaths from NH3 to Latino,Deaths from NH3 to Poverty,Deaths from NH3 to TwoXPov
2801700099,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Miscellaneous Fertilizers""",65982972.8916891,,,,,390.0615286543,276.0685367643,56.6629041854,1.4330898567,12.7236405684,7.5581494842,35.6152079465,55.2860945196,255.7535702543
2805019300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - flush dairy;Land application of manure""",3924833.97636434,,,,,13.942135206,9.7277254649,1.586036022,0.1222942364,0.4041407628,0.2984699203,1.8034688049,2.0485129471,8.9200449909
2310021502,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives: Flanges""",,0,0,0,3433014.68444801,0,0,0,0,0,0,0,0,0
2310021303,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines 500+ HP""",,85422.328750257,359.0037492093,21.0615619324,2281.6650214014,0,0,0,0,0,0,0,0,0
2310000660,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Hydraulic Fracturing Engines""",,8042601.89404334,303442.270384585,13792.8352545244,507576.355036432,0,0,0,0,0,0,0,0,0
2805039200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Swine production - operations with lagoons (unspecified animal age);Manure handling and storage""",152782173.842396,,,,,864.658554094,608.3080851046,134.9951653921,4.8972563624,25.1207872252,16.9594566088,74.3778041708,127.9469169864,556.3553914818
2310023400,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Dehydrators""",,2610384.62501441,198137.377769055,15622.9995863273,4900491.67419853,0,0,0,0,0,0,0,0,0
2310000230,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Workover Rigs""",,5147003.647455,127980.049929439,48382.984473044,267891.279819564,0,0,0,0,0,0,0,0,0
2310022410,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Amine Unit""",,0,0,17.691558996,0,0,0,0,0,0,0,0,0,0
2801700006,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Ammonium Sulfate""",24018467.8755428,,,,,127.2105463875,89.0024981255,18.4839388314,0.5450026221,4.1214043864,2.4630623299,12.5946401344,18.3794384931,82.7601572023
2805022100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - deep pit dairy;Confinement""",3768803.1859794,,,,,25.6318620267,18.3909940468,3.3363680193,0.0982963882,0.9660377296,0.5123537309,2.3278121327,3.4338610332,17.2632033958
2310111100,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Exploration;Mud Degassing""",,,,,44315235.1183386,0,0,0,0,0,0,0,0,0
2310023511,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives: Connectors""",,,,,850168.74638462,0,0,0,0,0,0,0,0,0
2310111700,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Exploration;Oil Well Completion: All Processes""",,386021.616866488,10328.301225,380003.601451524,27698445.7249034,0,0,0,0,0,0,0,0,0
2801700004,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Urea""",434924846.073196,,,,,1980.8660656604,1424.3418523457,283.6830067502,10.3007409383,59.2153188834,37.7410012443,165.584145788,290.0425029275,1279.480464053
2805021200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Manure handling and storage""",53456076.9269526,,,,,306.5750407097,219.2475409305,39.12563409,1.3326782969,11.2977590868,6.1610913674,29.4103371629,41.4348751124,205.4232805965
2805045000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Goats Waste Emissions;Not Elsewhere Classified""",18921407.9697905,,,,,115.628368373,78.7753074162,17.3027374947,0.6888378419,3.3416065743,2.3799105502,13.1399685321,17.3575126208,73.3735009851
2805022200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - deep pit dairy;Manure handling and storage""",175987.883323997,,,,,1.1969423559,0.8588215457,0.1558005552,0.0045903542,0.0451099766,0.0239257157,0.1086942093,0.1603525701,0.8061463746
